,Date,Department,Category,CustomerCode,Price,Quantity
3324,2015-10-22,Entrees,Lamb Chops,CWM11331L8O,33.0,13.0
3325,2016-02-18,Sides,Yogurt,CWM11331L8O,12.0,21.0
3326,2014-08-04,Kabobs,Beef,CWM11331L8O,25.0,2.0
3327,2016-01-19,Kabobs,Chicken,CWM11331L8O,33.0,11.0
3328,2014-02-04,Kabobs,Chicken,CWM11331L8O,33.0,14.0
3329,2017-04-01,Kabobs,Chicken,COR1129525K,33.0,3.0
3330,2016-11-24,Kabobs,Chicken,CWM11331L8O,33.0,11.0
3331,2014-10-15,Kabobs,Chicken,CWM11331L8O,33.0,8.0
3332,2014-05-29,Kabobs,Chicken,CWM11331L8O,33.0,15.0
3333,2016-04-14,Sides,Yogurt,CWM11331L8O,12.0,16.0
3334,2016-03-24,Kabobs,Chicken,CWM11331L8O,33.0,20.0
3335,2016-07-30,Kabobs,Beef,CWM11331L8O,28.0,14.0
3336,2014-07-02,Kabobs,Chicken,CWM11331L8O,33.0,11.0
3337,2016-10-03,Sides,Rice,CWM11331L8O,9.0,21.0
3338,2016-05-19,Kabobs,Chicken,CWM11331L8O,33.0,7.0
3339,2015-02-18,Entrees,Lamb Chops,CWM11331L8O,23.0,17.0
3340,2014-10-21,Kabobs,Chicken,CWM11331L8O,33.0,14.0
3341,2016-11-23,Sides,Yogurt,CWM11331L8O,12.0,7.0
3342,2015-02-04,Sides,Rice,CWM11331L8O,9.0,9.0
3343,2016-04-25,Kabobs,Chicken,CWM11331L8O,33.0,12.0
3345,2015-08-06,Sides,Yogurt,CWM11331L8O,12.0,10.0
3346,2015-08-11,Kabobs,Chicken,CWM11331L8O,33.0,15.0
3347,2015-07-16,Entrees,Beef and Broccoli,CWM11331L8O,49.0,11.0
3348,2016-11-01,Kabobs,Chicken,CWM11331L8O,33.0,3.0
3349,2014-06-18,Kabobs,Chicken,CC84377MZS,33.0,12.0
3350,2014-04-01,Kabobs,Chicken,CFN3520YYT,33.0,13.0
3351,2016-08-29,Entrees,Beef and Broccoli,CWM11331L8O,15.0,5.0
3352,2015-01-21,Kabobs,Beef,CWM11331L8O,25.0,6.0
3353,2016-03-12,Entrees,Beef and Broccoli,CWM11331L8O,27.0,7.0
3354,2015-09-30,Kabobs,Lamb,CWM11331L8O,28.0,10.0
3355,2014-12-08,Kabobs,Pork,CWM11331L8O,28.0,12.0
3356,2014-07-05,Kabobs,Beef,CWM11331L8O,25.0,17.0
3357,2015-05-10,Kabobs,Chicken,CWM11331L8O,33.0,11.0
3358,2016-08-11,Kabobs,Chicken,CWM11331L8O,33.0,7.0
3359,2016-02-29,Kabobs,Chicken,CWM11331L8O,33.0,4.0
3360,2016-02-04,Kabobs,Beef,CTO8752N6A,25.0,12.0
3361,2015-04-14,Kabobs,Chicken,CAF67732P6,33.0,14.0
3362,2015-07-30,Entrees,Beef and Broccoli,CWM11331L8O,29.0,8.0
3363,2015-05-24,Kabobs,Lamb,CWM11331L8O,28.0,15.0
3364,2016-07-16,Kabobs,Chicken,CWM11331L8O,33.0,9.0
3365,2015-10-07,Sides,Yogurt,CWM11331L8O,12.0,11.0
